Planktiv_S_Fish1_Nums,Small Planktivores
Planktiv_S_Fish2_Nums,Small Planktivores
Planktiv_S_Fish3_Nums,Small Planktivores
Planktiv_S_Fish4_Nums,Small Planktivores
Planktiv_S_Fish5_Nums,Small Planktivores
Planktiv_S_Fish6_Nums,Small Planktivores
Planktiv_S_Fish7_Nums,Small Planktivores
Planktiv_S_Fish8_Nums,Small Planktivores
Planktiv_S_Fish9_Nums,Small Planktivores
Planktiv_S_Fish10_Nums,Small Planktivores
Planktiv_O_Fish1_Nums,Canary Rockfish
Planktiv_O_Fish2_Nums,Canary Rockfish
Planktiv_O_Fish3_Nums,Canary Rockfish
Planktiv_O_Fish4_Nums,Canary Rockfish
Planktiv_O_Fish5_Nums,Canary Rockfish
Planktiv_O_Fish6_Nums,Canary Rockfish
Planktiv_O_Fish7_Nums,Canary Rockfish
Planktiv_O_Fish8_Nums,Canary Rockfish
Planktiv_O_Fish9_Nums,Canary Rockfish
Planktiv_O_Fish10_Nums,Canary Rockfish
Planktiv_L_Fish1_Nums,Large Planktivores
Planktiv_L_Fish2_Nums,Large Planktivores
Planktiv_L_Fish3_Nums,Large Planktivores
Planktiv_L_Fish4_Nums,Large Planktivores
Planktiv_L_Fish5_Nums,Large Planktivores
Planktiv_L_Fish6_Nums,Large Planktivores
Planktiv_L_Fish7_Nums,Large Planktivores
Planktiv_L_Fish8_Nums,Large Planktivores
Planktiv_L_Fish9_Nums,Large Planktivores
Planktiv_L_Fish10_Nums,Large Planktivores
Pisciv_S_Fish1_Nums,Large Demersal Predators
Pisciv_S_Fish2_Nums,Large Demersal Predators
Pisciv_S_Fish3_Nums,Large Demersal Predators
Pisciv_S_Fish4_Nums,Large Demersal Predators
Pisciv_S_Fish5_Nums,Large Demersal Predators
Pisciv_S_Fish6_Nums,Large Demersal Predators
Pisciv_S_Fish7_Nums,Large Demersal Predators
Pisciv_S_Fish8_Nums,Large Demersal Predators
Pisciv_S_Fish9_Nums,Large Demersal Predators
Pisciv_S_Fish10_Nums,Large Demersal Predators
Pisciv_D_Fish1_Nums,Large Flatfish
Pisciv_D_Fish2_Nums,Large Flatfish
Pisciv_D_Fish3_Nums,Large Flatfish
Pisciv_D_Fish4_Nums,Large Flatfish
Pisciv_D_Fish5_Nums,Large Flatfish
Pisciv_D_Fish6_Nums,Large Flatfish
Pisciv_D_Fish7_Nums,Large Flatfish
Pisciv_D_Fish8_Nums,Large Flatfish
Pisciv_D_Fish9_Nums,Large Flatfish
Pisciv_D_Fish10_Nums,Large Flatfish
Pisciv_T_Fish1_Nums,Large Pelagic Predators
Pisciv_T_Fish2_Nums,Large Pelagic Predators
Pisciv_T_Fish3_Nums,Large Pelagic Predators
Pisciv_T_Fish4_Nums,Large Pelagic Predators
Pisciv_T_Fish5_Nums,Large Pelagic Predators
Pisciv_T_Fish6_Nums,Large Pelagic Predators
Pisciv_T_Fish7_Nums,Large Pelagic Predators
Pisciv_T_Fish8_Nums,Large Pelagic Predators
Pisciv_T_Fish9_Nums,Large Pelagic Predators
Pisciv_T_Fish10_Nums,Large Pelagic Predators
Pisciv_B_Fish1_Nums,Salmon
Pisciv_B_Fish2_Nums,Salmon
Pisciv_B_Fish3_Nums,Salmon
Pisciv_B_Fish4_Nums,Salmon
Pisciv_B_Fish5_Nums,Salmon
Pisciv_B_Fish6_Nums,Salmon
Pisciv_B_Fish7_Nums,Salmon
Pisciv_B_Fish8_Nums,Salmon
Pisciv_B_Fish9_Nums,Salmon
Pisciv_B_Fish10_Nums,Salmon
Mesopel_M_Fish1_Nums,Hake
Mesopel_M_Fish2_Nums,Hake
Mesopel_M_Fish3_Nums,Hake
Mesopel_M_Fish4_Nums,Hake
Mesopel_M_Fish5_Nums,Hake
Mesopel_M_Fish6_Nums,Hake
Mesopel_M_Fish7_Nums,Hake
Mesopel_M_Fish8_Nums,Hake
Mesopel_M_Fish9_Nums,Hake
Mesopel_M_Fish10_Nums,Hake
Mesopel_N_Fish1_Nums,Sablefish
Mesopel_N_Fish2_Nums,Sablefish
Mesopel_N_Fish3_Nums,Sablefish
Mesopel_N_Fish4_Nums,Sablefish
Mesopel_N_Fish5_Nums,Sablefish
Mesopel_N_Fish6_Nums,Sablefish
Mesopel_N_Fish7_Nums,Sablefish
Mesopel_N_Fish8_Nums,Sablefish
Mesopel_N_Fish9_Nums,Sablefish
Mesopel_N_Fish10_Nums,Sablefish
Benthopel_Fish1_Nums,Deep Vertical Migrators
Benthopel_Fish2_Nums,Deep Vertical Migrators
Benthopel_Fish3_Nums,Deep Vertical Migrators
Benthopel_Fish4_Nums,Deep Vertical Migrators
Benthopel_Fish5_Nums,Deep Vertical Migrators
Benthopel_Fish6_Nums,Deep Vertical Migrators
Benthopel_Fish7_Nums,Deep Vertical Migrators
Benthopel_Fish8_Nums,Deep Vertical Migrators
Benthopel_Fish9_Nums,Deep Vertical Migrators
Benthopel_Fish10_Nums,Deep Vertical Migrators
Demersal_S_Fish1_Nums,Midwater Rockfish
Demersal_S_Fish2_Nums,Midwater Rockfish
Demersal_S_Fish3_Nums,Midwater Rockfish
Demersal_S_Fish4_Nums,Midwater Rockfish
Demersal_S_Fish5_Nums,Midwater Rockfish
Demersal_S_Fish6_Nums,Midwater Rockfish
Demersal_S_Fish7_Nums,Midwater Rockfish
Demersal_S_Fish8_Nums,Midwater Rockfish
Demersal_S_Fish9_Nums,Midwater Rockfish
Demersal_S_Fish10_Nums,Midwater Rockfish
Demersal_D_Fish1_Nums,Deep Misc Fish
Demersal_D_Fish2_Nums,Deep Misc Fish
Demersal_D_Fish3_Nums,Deep Misc Fish
Demersal_D_Fish4_Nums,Deep Misc Fish
Demersal_D_Fish5_Nums,Deep Misc Fish
Demersal_D_Fish6_Nums,Deep Misc Fish
Demersal_D_Fish7_Nums,Deep Misc Fish
