Planktiv_S_Fish1_ResN,Small Planktivores
Planktiv_S_Fish2_ResN,Small Planktivores
Planktiv_S_Fish3_ResN,Small Planktivores
Planktiv_S_Fish4_ResN,Small Planktivores
Planktiv_S_Fish5_ResN,Small Planktivores
Planktiv_S_Fish6_ResN,Small Planktivores
Planktiv_S_Fish7_ResN,Small Planktivores
Planktiv_S_Fish8_ResN,Small Planktivores
Planktiv_S_Fish9_ResN,Small Planktivores
Planktiv_S_Fish10_ResN,Small Planktivores
Planktiv_O_Fish1_ResN,Canary Rockfish
Planktiv_O_Fish2_ResN,Canary Rockfish
Planktiv_O_Fish3_ResN,Canary Rockfish
Planktiv_O_Fish4_ResN,Canary Rockfish
Planktiv_O_Fish5_ResN,Canary Rockfish
Planktiv_O_Fish6_ResN,Canary Rockfish
Planktiv_O_Fish7_ResN,Canary Rockfish
Planktiv_O_Fish8_ResN,Canary Rockfish
Planktiv_O_Fish9_ResN,Canary Rockfish
Planktiv_O_Fish10_ResN,Canary Rockfish
Planktiv_L_Fish1_ResN,Large Planktivores
Planktiv_L_Fish2_ResN,Large Planktivores
Planktiv_L_Fish3_ResN,Large Planktivores
Planktiv_L_Fish4_ResN,Large Planktivores
Planktiv_L_Fish5_ResN,Large Planktivores
Planktiv_L_Fish6_ResN,Large Planktivores
Planktiv_L_Fish7_ResN,Large Planktivores
Planktiv_L_Fish8_ResN,Large Planktivores
Planktiv_L_Fish9_ResN,Large Planktivores
Planktiv_L_Fish10_ResN,Large Planktivores
Pisciv_S_Fish1_ResN,Large Demersal Predators
Pisciv_S_Fish2_ResN,Large Demersal Predators
Pisciv_S_Fish3_ResN,Large Demersal Predators
Pisciv_S_Fish4_ResN,Large Demersal Predators
Pisciv_S_Fish5_ResN,Large Demersal Predators
Pisciv_S_Fish6_ResN,Large Demersal Predators
Pisciv_S_Fish7_ResN,Large Demersal Predators
Pisciv_S_Fish8_ResN,Large Demersal Predators
Pisciv_S_Fish9_ResN,Large Demersal Predators
Pisciv_S_Fish10_ResN,Large Demersal Predators
Pisciv_D_Fish1_ResN,Large Flatfish
Pisciv_D_Fish2_ResN,Large Flatfish
Pisciv_D_Fish3_ResN,Large Flatfish
Pisciv_D_Fish4_ResN,Large Flatfish
Pisciv_D_Fish5_ResN,Large Flatfish
Pisciv_D_Fish6_ResN,Large Flatfish
Pisciv_D_Fish7_ResN,Large Flatfish
Pisciv_D_Fish8_ResN,Large Flatfish
Pisciv_D_Fish9_ResN,Large Flatfish
Pisciv_D_Fish10_ResN,Large Flatfish
Pisciv_T_Fish1_ResN,Large Pelagic Predators
Pisciv_T_Fish2_ResN,Large Pelagic Predators
Pisciv_T_Fish3_ResN,Large Pelagic Predators
Pisciv_T_Fish4_ResN,Large Pelagic Predators
Pisciv_T_Fish5_ResN,Large Pelagic Predators
Pisciv_T_Fish6_ResN,Large Pelagic Predators
Pisciv_T_Fish7_ResN,Large Pelagic Predators
Pisciv_T_Fish8_ResN,Large Pelagic Predators
Pisciv_T_Fish9_ResN,Large Pelagic Predators
Pisciv_T_Fish10_ResN,Large Pelagic Predators
Pisciv_B_Fish1_ResN,Salmon
Pisciv_B_Fish2_ResN,Salmon
Pisciv_B_Fish3_ResN,Salmon
Pisciv_B_Fish4_ResN,Salmon
Pisciv_B_Fish5_ResN,Salmon
Pisciv_B_Fish6_ResN,Salmon
Pisciv_B_Fish7_ResN,Salmon
Pisciv_B_Fish8_ResN,Salmon
Pisciv_B_Fish9_ResN,Salmon
Pisciv_B_Fish10_ResN,Salmon
Mesopel_M_Fish1_ResN,Hake
Mesopel_M_Fish2_ResN,Hake
Mesopel_M_Fish3_ResN,Hake
Mesopel_M_Fish4_ResN,Hake
Mesopel_M_Fish5_ResN,Hake
Mesopel_M_Fish6_ResN,Hake
Mesopel_M_Fish7_ResN,Hake
Mesopel_M_Fish8_ResN,Hake
Mesopel_M_Fish9_ResN,Hake
Mesopel_M_Fish10_ResN,Hake
Mesopel_N_Fish1_ResN,Sablefish
Mesopel_N_Fish2_ResN,Sablefish
Mesopel_N_Fish3_ResN,Sablefish
Mesopel_N_Fish4_ResN,Sablefish
Mesopel_N_Fish5_ResN,Sablefish
Mesopel_N_Fish6_ResN,Sablefish
Mesopel_N_Fish7_ResN,Sablefish
Mesopel_N_Fish8_ResN,Sablefish
Mesopel_N_Fish9_ResN,Sablefish
Mesopel_N_Fish10_ResN,Sablefish
Benthopel_Fish1_ResN,Deep Vertical Migrators
Benthopel_Fish2_ResN,Deep Vertical Migrators
Benthopel_Fish3_ResN,Deep Vertical Migrators
Benthopel_Fish4_ResN,Deep Vertical Migrators
Benthopel_Fish5_ResN,Deep Vertical Migrators
Benthopel_Fish6_ResN,Deep Vertical Migrators
